cd_llh_traces,node_traces,bignodes_traces,unnormpost_traces,depth_traces,base_value_traces,std_traces,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15
-514.4429983779828,5.0,5.0,-714.27472812488077,3.0,5.710724785343424,3.3108769236310618,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2373979719964614,0.70031429468181161,0.05521976555637869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-517.96384943720375,5.0,5.0,-716.31658748355812,3.0,6.1483976683626258,3.7557479127199698,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040100272976042337,0.89781097257468856,0.052626861837423405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-508.44153946244523,5.0,4.0,-707.56809781642426,3.0,6.4205590958126892,3.9587106957924041,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1395511560103776,0.82259038852964372,0.036679181600257321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-499.2174882180322,5.0,4.0,-669.12370670358905,3.0,6.0057783506459499,3.060501652866253,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28788975940930728,0.68318103847393208,0.02592530565123885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-498.17393939909851,6.0,4.0,-668.36978278874619,3.0,6.2697911322046185,3.0055114863054246,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061672014090358935,0.95170145916684168,0.02392328162795199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-502.83981495552393,5.0,4.0,-677.38460003876799,3.0,6.0295558830898344,4.1769729392863795,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04806072190338849,0.86117874860994281,0.089364677879668078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-495.62724757773782,5.0,4.0,-668.86508976090886,3.0,5.5814669975881799,5.4632055212661275,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18824038882241809,0.77157755295429431,0.038553080424648764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-503.35895701662844,5.0,4.0,-677.31007597917528,3.0,4.4546221763037899,5.7543979349537864,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12943386638715504,0.82792812366728863,0.041870936310073208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-515.52309133128392,5.0,4.0,-682.08241597396068,3.0,6.9269703027947021,5.5547132396232843,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30704586900215913,0.66667654738839788,0.023759322631592833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-510.72325098122428,5.0,4.0,-679.23508437435942,3.0,2.4413614610810406,8.4227258774581344,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31658573386298866,0.61843960875549542,0.045194522496509279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-510.83056597984177,6.0,4.0,-679.46956698190093,3.0,5.8711905436846124,3.7702888850267371,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24175615105919401,0.72737833668261886,0.025328420789814583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
